estacao,ano,precip_total,rx1day,dias_chuva_forte,cdd,tmax_media
A437,2016,1335.2,109.0,2,13,28.922598870056497
A437,2017,995.5999999999999,53.4,1,27,27.964126984126988
A437,2018,1698.6,92.0,4,12,28.12356164383561
A437,2019,1161.4,42.8,0,17,28.99123287671233
A437,2020,36.4,14.6,0,347,28.36939890710383
A438,2009,1992.8000000000002,121.60000000000001,5,17,28.673972602739727
A438,2010,1600.0,102.0,5,85,28.97480916030534
A438,2011,2932.6000000000004,117.80000000000001,11,11,27.916986301369864
A438,2012,1744.3999999999999,84.2,4,22,28.145901639344256
A438,2013,2953.6000000000004,271.4,10,16,28.30191780821918
A438,2014,2144.6,128.0,8,43,28.05459610027855
A438,2015,1308.8,102.8,4,61,29.139542483660133
A438,2016,1622.4,189.6,3,38,29.10699088145897
A438,2017,1199.6,81.6,3,14,28.352328767123282
A438,2018,2137.0,94.4,7,15,28.684109589041096
A438,2019,1880.1999999999998,67.2,5,14,29.256164383561643
A438,2020,2466.6,103.60000000000001,7,16,28.62868852459016
A439,2008,296.4,50.2,1,149,33.336290322580645
A439,2009,889.0,56.0,1,127,32.86794520547945
A439,2010,640.2,56.6,2,71,33.614520547945204
A439,2011,512.8,59.800000000000004,2,176,32.475147928994076
A439,2012,464.8,46.2,0,104,34.17158469945355
A439,2013,894.6,93.0,3,184,34.06263736263736
A439,2014,705.6,112.8,2,129,33.69534246575342
A439,2015,409.0,56.199999999999996,1,135,34.822898550724645
A439,2016,522.4,72.8,3,205,34.52144927536232
A439,2017,525.4,65.4,2,87,34.15333333333333
A439,2018,533.2,39.2,0,101,34.00686813186813
A439,2019,329.2,56.199999999999996,1,135,35.332417582417584
A439,2020,770.0,51.2,2,215,33.04072022160665
A440,2008,386.6,57.4,1,36,28.53155737704918
A440,2009,839.5999999999999,71.39999999999999,4,56,29.953150684931504
A440,2010,923.2,90.2,2,37,29.784383561643832
A440,2011,400.2,49.8,0,205,29.037260273972603
A440,2012,400.0,77.2,1,41,30.491256830601092
A440,2013,744.5999999999999,98.8,2,41,30.070637119113574
A440,2014,462.19999999999993,44.0,0,129,29.436164383561646
A440,2015,639.8000000000001,68.39999999999999,1,43,30.6858407079646
A440,2016,428.6,87.6,1,55,30.596448087431693
A440,2017,405.59999999999997,63.2,2,90,30.043801652892554
A440,2018,932.1999999999999,103.8,3,56,29.79232876712329
A440,2019,646.4,159.8,2,77,30.65205479452055
A440,2020,81.6,21.8,0,335,28.558299595141698
A441,2008,467.6,32.800000000000004,0,40,28.31025641025641
A441,2009,665.4,29.6,0,38,30.134794520547945
A441,2010,1044.4,81.8,5,28,29.572876712328764
A441,2011,623.4000000000001,41.0,0,26,29.418082191780822
A441,2012,318.0,17.4,0,54,30.392349726775958
A441,2013,598.4,26.0,0,107,29.54904109589041
A441,2014,499.8,20.599999999999998,0,87,29.51342465753425
A441,2015,411.20000000000005,31.8,0,67,30.207397260273975
A441,2016,725.6,55.8,2,44,30.6672131147541
A441,2017,496.4,21.4,0,51,29.924931506849315
